ID	CCLE_name	Cell_line_primary_name	Gender	Batch	Site_Primary	Histology	Hist_Subtype1
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A12_454764	NCIH1048_LUNG	NCI-H1048	F	7	lung	carcinoma	small_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_B03_454592	NCIH1618_LUNG	NCI-H1618	F	7	lung	carcinoma	small_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C02_454610	NCIH69_LUNG	NCI-H69	M	7	lung	carcinoma	small_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C03_454616	DV90_LUNG	DV-90	M	7	lung	carcinoma	adenocarcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C12_454632	NCIH1648_LUNG	NCI-H1648	M	7	lung	carcinoma	adenocarcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_D08_454648	NCIH23_LUNG	NCI-H23	M	7	lung	carcinoma	non_small_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_D12_454650	NCIH1373_LUNG	NCI-H1373	M	7	lung	carcinoma	adenocarcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E01_454664	NCIH1930_LUNG	NCI-H1930	M	7	lung	carcinoma	small_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E02_454662	NCIH1623_LUNG	NCI-H1623	M	7	lung	carcinoma	adenocarcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E03_454660	HS229T_LUNG	Hs-229.T	M	7	lung	carcinoma	adenocarcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E04_454658	NCIH1838_LUNG	NCI-H1838	F	7	lung	carcinoma	non_small_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E05_454672	NCIH1836_LUNG	NCI-H1836	M	7	lung	carcinoma	small_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F08_454692	NCIH1755_LUNG	NCI-H1755	F	7	lung	carcinoma	adenocarcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F10_454704	RERFLCKJ_LUNG	RERF-LC-KJ	M	7	lung	carcinoma	non_small_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F11_454698	NCIH1693_LUNG	NCI-H1693	F	7	lung	carcinoma	adenocarcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_H05_454714	DMS114_LUNG	DMS-114	M	7	lung	carcinoma	small_cell_carcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A01_474586	SCLC21H_LUNG	SCLC-21H	M	8	lung	carcinoma	small_cell_carcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A02_474612	CALU3_LUNG	Calu-3	M	8	lung	carcinoma	adenocarcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A03_474622	NCIH1435_LUNG	NCI-H1435	F	8	lung	carcinoma	non_small_cell_carcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A04_474636	NCIH2009_LUNG	NCI-H2009	F	8	lung	carcinoma	adenocarcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A05_474768	NCIH1869_LUNG	NCI-H1869	M	8	lung	carcinoma	squamous_cell_carcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A11_474652	HCC4006_LUNG	HCC4006	M	8	lung	carcinoma	adenocarcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B02_474740	SHP77_LUNG	SHP-77	M	8	lung	carcinoma	small_cell_carcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B09_474584	NCIH841_LUNG	NCI-H841	M	8	lung	carcinoma	small_cell_carcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B11_474698	NCIH1944_LUNG	NCI-H1944	F	8	lung	carcinoma	non_small_cell_carcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B12_474708	NCIH2405_LUNG	NCI-H2405	M	8	lung	carcinoma	adenocarcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C02_474694	BEN_LUNG	BEN	M	8	lung	carcinoma	NS
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C12_474736	NCIH727_LUNG	NCI-H727	F	8	lung	carcinoid-endocrine_tumour	NS
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D02_474658	HCC2935_LUNG	HCC2935	M	8	lung	carcinoma	non_small_cell_carcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E02_474726	LCLC103H_LUNG	LCLC-103H	M	8	lung	carcinoma	large_cell_carcinoma
WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E10_474630	LCLC97TM1_LUNG	LCLC-97TM1	M	8	lung	carcinoma	large_cell_carcinoma
SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B02_523522	NCIH2126_LUNG	NCI-H2126	M	9	lung	carcinoma	adenocarcinoma
SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B03_523472	NCIH2141_LUNG	NCI-H2141	M	9	lung	carcinoma	small_cell_carcinoma
SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B04_523612	NCIH1385_LUNG	NCI-H1385	F	9	lung	carcinoma	squamous_cell_carcinoma
SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B05_523590	HCC827_LUNG	HCC827	F	9	lung	carcinoma	adenocarcinoma
SILOS_p_NCLE_RNA9_HG-U133_Plus_2_G02_523642	LXF289_LUNG	LXF-289	M	9	lung	carcinoma	adenocarcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A01_569468	HCC95_LUNG	HCC-95	M	10	lung	carcinoma	squamous_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A04_569436	HCC1438_LUNG	HCC-1438	M	10	lung	carcinoma	large_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A09_569560	HCC2108_LUNG	HCC-2108	M	10	lung	carcinoma	adenocarcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A12_569494	HCC1359_LUNG	HCC-1359	F	10	lung	carcinoma	large_cell_carcinoma
CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C05_569446	NCIH2110_LUNG	NCI-H2110	M	10	lung	carcinoma	non_small_cell_carcinoma
